 Net Value Growth Rate, Net Income to Stockholder's Equity, Borrowing dependency, Persistent EPS in the Last Four Seasons, Total debt/Total net worth, Equity to Liability, Retained Earnings to Total Assets, Net Value Per Share (B), Non-industry income and expenditure/revenue, ROA(C) before interest and depreciation before interest, Interest Expense Ratio, Debt ratio %, Quick Ratio, Interest Coverage Ratio (Interest expense to EBIT), Cash/Total Assets, Degree of Financial Leverage (DFL), Interest-bearing debt interest rate, Cash/Current Liability, Total income/Total expense, Total Asset Return Growth Rate Ratio, Pre-tax net Interest Rate, Working Capital/Equity, Accounts Receivable Turnover, Fixed Assets Turnover Frequency, Working Capital to Total Assets, Inventory/Working Capital, Working capitcal Turnover Rate, Operating profit per person, Total assets to GNP price, Equity to Long-term Liability, No-credit Interval, Average Collection Days, ROA(A) before interest and % after tax, Current Ratio, Current Asset Turnover Rate, Operating Profit Per Share (Yuan ¥), Current Liabilities/Equity, Cash Turnover Rate, Operating Expense Rate, Total Asset Growth Rate, Revenue Per Share (Yuan ¥), Operating Profit Rate, Quick Asset Turnover Rate, Allocation rate per person, Continuous Net Profit Growth Rate, Total expense/Assets, Inventory and accounts receivable/Net value, Revenue per person, Operating Profit Growth Rate, Cash Flow Per Share
0.000446309,0.842483068,0.369637181,0.245438215,0.000762363,0.159041554,0.953402194,0.203826219,0.303521384,0.590113587,0.630612252,0.022674366,0.034423515,0.565158396,0.372755225,0.026791157,0.0,0.074423575,0.003231299,0.263527364,0.797671951,0.737434008,0.001079403,0.000136926,0.873352424,0.277029651,0.594024089,0.40158522,0.009663373,0.110933234,0.622829943,0.005853546,0.611753162,0.038214545,0.00017519,0.122954157,0.326925726,0.000343729,4790000000.0,6120000000.0,0.024260024,0.999206422,0.000171282,0.01183032,0.217583924,0.008261482,0.3958975,0.011779739,0.848000666,0.340100446
0.001577192,0.840367205,0.370638114,0.21716933,0.002318095,0.064648238,0.902462229,0.180481227,0.303422771,0.501876859,0.631268407,0.059678931,0.016559221,0.566402337,0.51102537,0.027137554,0.00040204,0.044096691,0.002262493,0.264477702,0.797458907,0.740896101,0.001213314,0.000158865,0.923511033,0.277186018,0.594490877,0.392630198,0.00078652,0.111328463,0.62434957,0.005214822,0.54769952,0.025580575,0.001090129,0.098037619,0.328203922,0.001759956,0.000762507,0.000240907,0.005278521,0.999075622,0.000777268,0.001828006,0.217730145,0.029471394,0.398930633,0.001827182,0.848152409,0.314210936
0.000413893,0.837950587,0.375790401,0.205634868,0.010495263,0.022788275,0.913886457,0.156377734,0.303409961,0.445229854,0.630181093,0.158327539,0.003891517,0.564602693,0.128716154,0.02668619,0.000268027,0.004736549,0.002150677,0.263666457,0.797289163,0.734150432,0.001130127,0.000250401,0.775725845,0.27821267,0.593929734,0.390787183,0.002126596,0.115215104,0.623571709,0.005593104,0.500272569,0.007159416,0.000120196,0.092500611,0.33433435,803000000.0,0.000152062,5350000000.0,0.027980701,0.99893997,7460000000.0,0.008110673,0.217555087,0.045303074,0.405033071,0.016714892,0.847969327,0.323618872
0.000438823,0.840577851,0.370418916,0.218682046,0.002255173,0.066087491,0.934366853,0.188108381,0.303748823,0.480865792,0.630635882,0.058348702,0.010567233,0.565186447,0.184521773,0.026797073,730000000.0,0.016204449,0.002413187,0.264645546,0.797466377,0.734803892,0.000752742,0.00128302,0.806475438,0.277108462,0.593982845,0.38853712,0.007206794,0.110933234,0.624691097,0.008404172,0.546990842,0.012408074,0.000180249,0.092582037,0.32815743,0.000232806,630000000.0,6850000000.0,0.016289305,0.998925989,0.000167069,0.002731253,0.217644872,0.008650838,0.397242582,0.029511038,0.8478369,0.316403763
0.000445685,0.840309131,0.369637181,0.217736598,0.001413473,0.096441088,0.931023949,0.168682314,0.30359341,0.484960757,0.630612252,0.039453397,0.016748868,0.565158396,0.213727256,0.026791157,0.0,0.029020235,0.002258924,0.26418553,0.797438571,0.735960786,0.00069796,0.000147517,0.835066539,0.277079776,0.594063405,0.392607585,0.000742147,0.110933234,0.624057952,0.009067659,0.539576973,0.021049544,0.000291052,0.095757674,0.327358144,0.000388952,0.000383682,7050000000.0,0.007229608,0.99897706,0.000263326,0.010756125,0.217977921,0.029535064,0.396744205,0.012308506,0.848214229,0.320011318
0.000613454,0.842987656,0.3747,0.262078094,0.006611404,0.030017443,0.944833429,0.23252286,0.303561264,0.573879979,0.630962932,0.124134595,0.006007583,0.56561795,0.178137294,0.026897208,0.000549055,0.012790541,0.004167573,0.265190262,0.797939363,0.732409803,0.001235632,3710000000.0,0.757458741,0.27753778,0.593931018,0.453924606,0.133315621,0.120514753,0.623744971,0.005115769,0.614751417,0.006597795,0.000235791,0.136796678,0.329526532,0.000434664,1630000000.0,0.00011031,0.019828486,0.999410709,0.000224694,0.174156217,0.217649624,0.003248308,0.395739413,0.041334841,0.848245544,0.34565325
0.000466422,0.843384146,0.369637181,0.248841827,0.011524818,0.021679963,0.942189755,0.185032236,0.303520417,0.548920197,0.630612594,0.165220546,0.005615812,0.565158774,0.058229369,0.026791236,0.0,0.001831464,0.002268668,0.264133467,0.797433452,0.739448253,0.014141804,0.004392982,0.831303271,0.277564972,0.59393021,0.395660433,0.003341701,0.110933234,0.623728392,0.000447448,0.586840384,0.009281718,5040000000.0,0.133702467,0.336221637,1170000000.0,0.000227688,6920000000.0,0.175628053,0.999007565,3070000000.0,0.000734108,0.217608095,0.140995126,0.405430969,0.023806237,0.848081272,0.342505482
0.000405658,0.837111263,0.376311557,0.20090763,0.008183551,0.026277723,0.911224636,0.161223716,0.303247056,0.430702481,0.629920823,0.139795024,0.003667558,0.564152511,0.026644177,0.026615305,0.00060106,0.00108179,0.002126015,0.263486957,0.797065328,0.731609392,0.000428109,9000000000.0,0.746596407,0.271750799,0.593908905,0.388186608,0.00086372,0.111365344,0.623625253,0.014794827,0.484354557,0.005730403,0.000222907,0.088022148,0.332701851,3990000000.0,0.000522561,5480000000.0,0.011903141,0.998830893,0.000150743,0.012221626,0.21756923,0.054851995,0.402629608,0.008668831,0.847873404,0.317500177
0.000515208,0.843293491,0.38485024,0.335539378,0.014962748,0.019072682,0.940443829,0.368968859,0.303490205,0.534490323,0.631029712,0.184055386,0.002094856,0.565744352,0.034877013,0.026930216,0.000312031,0.002915152,0.002993884,0.265145193,0.797545923,0.738143081,0.004173557,0.000201985,0.807811536,0.277233793,0.593972501,0.417120825,0.020846228,0.142654353,0.617242375,0.001514835,0.596216747,0.012242708,0.000152812,0.211464864,0.330573752,3650000000.0,311000000.0,0.000137244,0.160488225,0.999116064,0.00012044,0.041472293,0.217693331,0.005962735,0.398714938,0.048631817,0.848331045,0.29369739
0.000446708,0.840224357,0.37512945,0.218492956,0.006286762,0.031018534,0.936346492,0.199190932,0.30348948,0.49027446,0.632877289,0.120506696,0.00638875,0.567955764,0.026527695,0.028109994,0.000315032,0.002699484,0.002261593,0.263902682,0.797404124,0.733140587,0.000742597,0.000187611,0.768086366,0.277353443,0.593942306,0.39402094,0.009143849,0.122797515,0.62397457,0.008525427,0.538541212,0.008296386,0.000132358,0.098689032,0.328487309,4330000000.0,0.000120031,6160000000.0,0.020025107,0.998997974,0.000112683,0.010867762,0.217596079,0.012715904,0.397817323,0.01674133,0.848160444,0.322946877
0.000668628,0.844242094,0.369637181,0.251016356,0.003956812,0.042856224,0.933973529,0.182335342,0.303467485,0.6056647,0.630619786,0.089216072,0.012082542,0.565170387,0.299740691,0.026793678,0.000493049,0.016642859,0.00271043,0.265303712,0.79762367,0.738850567,0.000807523,0.000417587,0.867534981,0.277066678,0.593993143,0.397073788,0.001165223,0.110933234,0.624890342,0.007831199,0.672045355,0.014487942,0.000182844,0.128409739,0.329784826,0.000208211,9480000000.0,0.000136994,0.030854394,0.999191863,0.000175595,0.002877321,0.217617509,0.022462868,0.401673046,0.006665394,0.848181337,0.331895027
0.000513736,0.843540311,0.370720873,0.263496265,0.002567961,0.059613817,0.958700234,0.216678606,0.303532502,0.573441232,0.630648895,0.064697524,0.020011554,0.565209038,0.297623428,0.026801885,0.000206021,0.035763211,0.002577927,0.264372023,0.797627821,0.738656309,0.001574468,0.000273852,0.877622489,0.277097829,0.593996319,0.403292553,0.001388228,0.113813612,0.624155153,0.004015934,0.640263846,0.026037984,0.00014091,0.138995196,0.327659973,0.000198027,0.00014894,7900000000.0,0.046175719,0.999164362,0.000123057,0.008011451,0.217603974,0.028871918,0.398760488,0.016738393,0.848052463,0.33631605
0.00042682,0.838910021,0.379978662,0.209416659,0.011146372,0.022063246,0.904831432,0.152374531,0.30352646,0.476185833,0.627640375,0.162771714,0.003520955,0.569820128,0.020511436,0.039854416,0.000444044,0.000855262,0.002167746,0.264142015,0.797383788,0.732042497,0.000758828,7410000000.0,0.751888756,0.293309409,0.593916406,0.392030936,0.00080882,0.118177044,0.623309286,0.00832732,0.519733973,0.006014958,0.000208756,0.095350541,0.333612156,2830000000.0,0.000178311,5870000000.0,0.011358652,0.99896331,0.000129588,0.017733442,0.217601558,0.030225493,0.403111908,0.011101156,0.848157538,0.317005022
0.000476279,0.8423143,0.376348463,0.236929186,0.008261064,0.026130588,0.941338793,0.19063672,0.303733112,0.534100327,0.631304023,0.140490371,0.004287655,0.565979587,0.051130683,0.026996911,0.000648065,0.003491486,0.002515507,0.263784569,0.797679007,0.731878859,0.000906942,0.00013617,0.750042555,0.252844397,0.593913846,0.398238394,0.008844019,0.118755774,0.623329495,0.006972167,0.584986917,0.005899514,0.000142116,0.109274489,0.330067572,8270000000.0,0.000138186,729000000.0,0.020115855,0.999111095,0.000107534,0.012198053,0.217585942,0.015427189,0.39846039,0.012581702,0.848028382,0.325281177
0.000482518,0.843470672,0.372784248,0.262834452,0.004334346,0.040096534,0.959907566,0.2218617,0.303571416,0.579973675,0.630741702,0.095020709,0.0038466,0.565251929,0.028794703,0.026811144,0.000371037,0.001882861,0.002771273,0.264424086,0.797582998,0.734509132,0.004281091,0.000251914,0.793066658,0.277685464,0.593937239,0.439904118,0.018713611,0.112839675,0.623510294,0.001477263,0.624781945,0.009601842,7430000000.0,0.141682273,0.329326283,1590000000.0,6810000000.0,7810000000.0,0.067607423,0.999108207,3480000000.0,0.055762742,0.21760258,0.015823294,0.399277621,0.097545643,0.848050663,0.336245314
0.000479299,0.842255993,0.370232149,0.221612934,0.003408749,0.047903515,0.946856187,0.190257469,0.303673896,0.493833179,0.630639991,0.080176558,0.014913529,0.565192467,0.393125627,0.026798351,0.000205021,0.02453507,0.002503283,0.26435959,0.797532919,0.739908764,0.00071622,0.000532574,0.891230363,0.277062403,0.593998188,0.39567174,0.001424447,0.110933234,0.62441037,0.008837104,0.591146969,0.017493861,0.000172426,0.105284586,0.32925133,0.000241682,9660000000.0,6650000000.0,0.038053753,0.999017386,0.000164368,0.00234809,0.217580987,0.021724283,0.40097505,0.019749423,0.848017312,0.323654241
0.000445461,0.841061985,0.370672783,0.222652926,0.002468562,0.061498973,0.937523565,0.187476297,0.303477395,0.513869254,0.630666703,0.062732412,0.009359478,0.565164737,0.101244278,0.026792488,0.000247025,0.009602205,0.002341788,0.263993597,0.797501239,0.735057047,0.001324906,0.000196689,0.810266667,0.277245913,0.593963306,0.395117704,0.003245348,0.110971709,0.623968014,0.004775059,0.5611099,0.013398398,0.000115304,0.109437342,0.32804399,8540000000.0,0.000135642,6890000000.0,0.024562518,0.999084866,8660000000.0,0.005168763,0.217592104,0.026448365,0.398298284,0.0076818,0.848066215,0.327084954
0.000363261,0.832889636,0.387554436,0.18663137,0.016792055,0.018117464,0.915673834,0.156630568,0.303215151,0.468775898,0.630211915,0.192066995,0.005002576,0.564689118,0.097412269,0.026701124,0.000326033,0.007175244,0.001586566,0.262964776,0.796734141,0.735337905,0.000862305,4310000000.0,0.779778748,0.277458056,0.593969994,0.379876077,0.002736497,0.146268182,0.623734879,0.007327393,0.45142826,0.008777508,0.000243026,0.073609641,0.331546321,0.000190653,7320000000.0,5110000000.0,0.011842643,0.998569641,0.000179006,0.02621818,0.217405814,0.014476731,0.401300603,0.009256349,0.847372954,0.322168777
0.000473609,0.842393406,0.369637181,0.236172828,0.003301143,0.049074638,0.945187008,0.184610847,0.303562714,0.542144006,0.630612252,0.078332376,0.013111878,0.565158453,0.286493303,0.026791169,0.0,0.018656023,0.002412379,0.263901905,0.797615923,0.737460554,0.00056202,0.000419856,0.848967006,0.277030139,0.593994175,0.407023812,0.001070028,0.110933234,0.624064234,0.011246835,0.596053205,0.014374994,0.000186573,0.116358603,0.329097856,0.000239623,0.000207221,6920000000.0,0.025318753,0.999139866,0.000188065,0.00779617,0.217591984,0.034864012,0.399939445,0.025269157,0.848033511,0.3289241
0.000503929,0.840166228,0.378506899,0.215656613,0.00837323,0.025920184,0.921897139,0.162235051,0.303422771,0.504070589,0.634224189,0.141518276,0.004985109,0.568954618,0.063513068,0.030019562,0.000382038,0.003523472,0.002241426,0.264587267,0.797397069,0.732749126,0.000491007,4610000000.0,0.761049303,0.278102101,0.593935223,0.393252075,0.000818183,0.120824647,0.622282453,0.012860723,0.539140863,0.006709495,0.00025855,0.097874766,0.331000298,0.00012852,0.000298111,7400000000.0,0.009150445,0.999024088,0.000205745,0.017385916,0.217635136,0.021145927,0.400559736,0.006251193,0.848199641,0.319445427
0.00044868,0.840438392,0.370020779,0.217074785,0.002492271,0.061035889,0.934679441,0.177868611,0.303554013,0.471798372,0.630655744,0.063216132,0.010153003,0.56530167,0.032506882,0.026822084,0.000405041,0.00353934,0.00227719,0.264111709,0.797395962,0.734239831,0.001138243,0.000261748,0.794639198,0.277124221,0.593953367,0.391917867,0.000672988,0.110933234,0.623907889,0.005551262,0.54273877,0.012264548,9720000000.0,0.095187688,0.327804641,2960000000.0,0.000168829,7070000000.0,0.019299121,0.998960306,9030000000.0,0.008723443,0.217595581,0.024355866,0.39710727,0.0165592,0.847919518,0.319905213
0.00044853,0.840711632,0.370776791,0.224165642,0.00464075,0.038183901,0.943967022,0.220428975,0.303554497,0.486423244,0.630919097,0.099495117,0.006227799,0.565525322,0.120667381,0.026874153,0.000244024,0.00618064,0.002316019,0.263957853,0.797433591,0.733882476,0.001359399,0.0002852,0.782076212,0.27743431,0.593937909,0.393862644,0.002869001,0.110933234,0.623757325,0.004649534,0.548244658,0.008066746,0.000118753,0.102271802,0.330292563,9240000000.0,0.000114249,6430000000.0,0.049079662,0.998991504,9770000000.0,0.00832897,0.217591948,0.019053496,0.399078003,0.018718329,0.848033276,0.31470609
0.000477527,0.840654802,0.370428981,0.219532949,0.00197795,0.073415642,0.936977225,0.179469892,0.303398601,0.504704334,0.630676977,0.052453366,0.010981463,0.56519823,0.218175951,0.026799577,660000000.0,0.023681611,0.00227905,0.263549122,0.797547445,0.735228838,0.001158532,0.000319999,0.816290754,0.277172733,0.59398264,0.401573913,0.001070656,0.110933234,0.623880911,0.005462456,0.549171391,0.015336614,0.000149869,0.110251608,0.327737509,0.000233525,0.000270127,6130000000.0,0.016153183,0.999161127,0.00012203,0.005744739,0.217572194,0.037820258,0.396566022,0.014423571,0.848035734,0.326306854
0.000454295,0.842520218,0.372869244,0.254609057,0.010039304,0.02335153,0.940211366,0.262230837,0.303559331,0.497879394,0.630666703,0.155001965,0.006191616,0.565234417,0.009269344,0.026807344,0.000374037,0.000400477,0.003156228,0.264149008,0.797438709,0.734285208,0.001105779,0.017531079,0.777880653,0.27737939,0.593924251,0.461590647,0.150598552,0.117641503,0.623910206,0.005723752,0.578826864,0.00749514,5590000000.0,0.126536927,0.332961734,341000000.0,1080000000.0,8070000000.0,0.204198618,0.998993468,5270000000.0,0.005495077,0.217604382,0.004704403,0.406447818,0.634792826,0.848078779,0.315943977
0.000473335,0.840689642,0.380968411,0.218209322,0.01067491,0.022579896,0.926733779,0.169145843,0.303479087,0.491200702,0.63324749,0.159567071,0.003892764,0.568246456,0.003094738,0.028463987,0.000764076,0.00010866,0.002290745,0.265270299,0.797414085,0.729894247,0.000921145,0.000302599,0.727896165,0.276385794,0.593897441,0.397559983,0.003266757,0.110933234,0.622667647,0.006871406,0.556094636,0.004894212,0.000108649,0.102678935,0.33480488,242000000.0,5590000000.0,6160000000.0,0.031807251,0.999011262,8930000000.0,0.015672763,0.217631241,0.018188526,0.402546545,0.033303468,0.848240768,0.321107731
0.000455492,0.842359642,0.369637181,0.242601872,0.002466738,0.061531055,0.960836423,0.201972104,0.303758732,0.552235168,0.630612252,0.06270218,0.015032059,0.565158396,0.180805778,0.026791157,0.0,0.021648838,0.002542119,0.263844402,0.797779304,0.735211408,0.001107808,0.000279904,0.813210301,0.277012844,0.59399201,0.400985957,0.000693631,0.110933234,0.624090836,0.005707528,0.600741387,0.015820855,0.00016889,0.115870043,0.327652472,0.00023094,0.000204445,718000000.0,0.020009982,0.999182619,0.000173993,0.005503622,0.217592638,0.021510425,0.3957086,0.012240941,0.848053745,0.329136309
0.000479124,0.842818132,0.373155544,0.240143708,0.006273083,0.031060842,0.946786289,0.18692849,0.303475945,0.530785356,0.630721497,0.120355534,0.006681955,0.565316711,0.047580235,0.026825436,0.00019802,0.002015158,0.002415187,0.263884809,0.797543156,0.737161211,0.000669555,0.000366145,0.825815116,0.277366424,0.593970124,0.408618077,0.001986567,0.110933234,0.623814634,0.009452772,0.598288269,0.010134758,0.000186149,0.121732758,0.331744584,3630000000.0,0.000168945,7990000000.0,0.035648925,0.99912057,0.000134775,0.015178566,0.217591616,0.032773915,0.405551544,0.031308844,0.848032405,0.331576714
0.000486885,0.840936435,0.374782758,0.223692919,0.007487758,0.027742998,0.935350358,0.20256205,0.303755348,0.496319407,0.631744771,0.133234574,0.002838474,0.5662449,0.018207277,0.027081661,0.000589059,0.00283077,0.002448695,0.264178536,0.797534856,0.732052728,0.001913303,8090000000.0,0.752338294,0.281030209,0.593918929,0.392664119,0.114600055,0.120745606,0.626809867,0.003303774,0.554132141,0.006321353,9600000000.0,0.09657194,0.327801535,4440000000.0,0.000104998,7640000000.0,0.015094454,0.998980065,5190000000.0,0.018586676,0.218366843,0.008302049,0.395827835,0.011203972,0.84798155,0.319763741
0.000492075,0.845084804,0.372927398,0.287321547,0.009364484,0.024283207,0.957379462,0.222999452,0.303670029,0.58518988,0.630633484,0.14983221,0.008400635,0.565184132,0.033987532,0.026796582,0.00010401,0.001901457,0.002562918,0.26395319,0.797579263,0.736039873,0.001915332,0.000863164,0.799880065,0.2771013,0.593938981,0.399708283,0.004367607,0.118298566,0.623896243,0.00330292,0.641681204,0.009573761,8160000000.0,0.140949434,0.331229488,1740000000.0,0.000113555,0.000105667,0.100972518,0.999057828,8220000000.0,0.004701206,0.217593428,0.027612405,0.399771979,0.023994242,0.84806585,0.348199759
